"On A Scale From 1-10, How Good Are You At Keeping A Secret?",10,5,8,9
Name The Time Of Night When It’s Too Late To Call Someone’s House.,10,12,11,9
Name An Age That People Worry About Turning,40,50,30,60
Tell Me A Good Score When Playing 18 Holes Of Golf.,72,65,80,66
Name Something That Can Be Spoiled,Milk,Food,Kids,A Surprise
What Reason Would Most People Give For Why They Drink Coffee?,Stay Awake,Like The Taste,Energy,Addicted
Name A Profession Where You May Receive Lots Of Mail From Strangers.,Celebrity,Politician,Customer Service,Advice Columnist
Name Something You Hope To Have Your Seat Near While Riding In A Plane,Window,Bathroom,Exit,Aisle
Tell Me Something You Avoid When You Are Sick,Other People,Work/ School,Eating,Alcohol
What’s Something You Drink To Make You Warmer?,Coffee,Hot Chocolate,Tea,Alcohol
Name A Drink You Get At A Cafe That Most People Can’t Make At Home,Latte,Cappuccino,Mocha,Americano
Name A Public Place Where It Is Okay To Yell,Park,Concert,Sports Event,Amusement Park
Name A Physical Characteristic That Aliens Are Said To Have,Wide Eyes,Big Head,Green Skin,Antennae
What Might A Professional Athlete Do Just After A Sports Game To Avoid Getting Sore Muscles?,Stretch,Get A Massage,Soak In Hot Tub,Apply Ice
What Might A Woman Do On A First Date To Make You Suspect He Was An Undercover Cop?,Ask Many Questions,Carries A Gun,Wears A Badge,Ask For ID
Name Something A Vacation Brochure Tells You About A Destination,Weather,Prices,Where To Stay,Attractions
Name An Occasion Where It’d Be Embarrassing To Show Up Empty Handed.,Wedding,Birthday,Christmas,Baby Shower
Name A Reason Why A College Football Player Might Get Kicked Off His Team.,Steroids,Fighting,Bad Attitude,Bad Grades
"In A Scary Movie, Name Something Specific That Causes A Character To Scream",Monster,Weapon,Ghost,Bad Guy
We Asked 100 Women: What Might You Get 2 Tickets For In Order To Entice Your Crush Into A Date?,Rock Concert,Sports Game,Opera,Ballet
Name A Job Where You Must Keep A Certain Haircut.,Police,Military,Model,Barber
Name A Sport That People Bet On,Football,Horse Racing,Boxing,Basketball
Name Something In A House That A Spoiled Kid Might Have Their Own Of.,TV,Computer,Phone,Bathroom
Name Something A Teenage Boy Might Ask His Dad For.,Car,Money,Advice,Bike
Name Something That Gets Rolled Out.,Red Carpet,Dough,Yoga Mat,Sleeping Bag
Which North Pole Resident Is Most Likely To Become Jealous Of Santa’s Power?,Elf,Jack Frost,Rudolph,Mrs. Claus
Where Do You Like To Go Barefoot?,Beach,Park,Shower,Bed
Name Something You Try To Prevent From Getting Flat,Tire,Hair,Soda,Beer
Whose Phone Number Might A Child Know By Heart?,Emergency Department,Home Phone,Grandparents,Best Friend
Name A Reason Why Workers Might Go On Strike.,Better Pay,Want Benefits,No Contract,Better Hours
Name Something Permanent On a Criminal’s Skin That Police Use To Be Sure They’ve Got Their Man.,Tattoo,Fingerprint,Scar,Birthmark
Name An Animal Associated With A Holiday,Reindeer,Turkey,Bunny,Black Cat
Name Something Kids Might Use to Help Them Count.,Fingers,Flash Cards,Calculator,Blocks
Name Something From The Laundry That’s Impossible To Fold Neatly.,Fitted Sheets,Socks,Underwear,Blouse
Name A U.S. City With Very Aggressive Drivers,New York,Los Angeles,Chicago,Boston
Name Something That Would Be Harder To Do If You Lived In Los Angeles,Drive,Ski,Sleep,Breathe
